Id	CAS	SMILES	Status	Experimental value [log(1/(mmol/L))]	Predicted value [log(1/(mmol/L))]
631	000122-03-2	O=Cc(ccc(c1)C(C)C)c1	Training	1.35	1.613798
632	000446-52-6	Fc1ccccc1C=O	Test	1.962	0.348926
633	000653-37-2	Fc1c(F)c(F)c(C=O)c(F)c1F	Training	2.251	1.557689
634	000454-89-7	O=Cc(cccc1C(F)(F)F)c1	Training	2.279	2.108732
635	000104-88-1	O=Cc(ccc(c1)Cl)c1	Training	1.808	1.847499
636	000874-42-0	O=Cc(c(cc(c1)Cl)Cl)c1	Test	1.989	0.410801
637	000387-45-1	O=Cc(c(ccc1)Cl)c1F	Training	1.229	0.762833
638	000123-11-5	O=Cc(ccc(OC)c1)c1	Training	0.532	0.594367
639	010031-82-0	O=Cc(ccc(OCC)c1)c1	Test	0.729	0.077204
640	000613-45-6	COc1ccc(C=O)c(OC)c1	Training	0.919	1.134153
641	004460-86-0	O=Cc(c(OC)cc(OC)c1OC)c1	Test	0.599	0.502476
642	061096-84-2	CCCCCCOc1ccc(C=O)cc1OC	Training	1.947	1.841827
643	000098-86-2	O=C(c(cccc1)c1)C	Test	-0.13	0.289188
644	002234-16-4	O=C(c(c(cc(c1)Cl)Cl)c1)C	Training	1.205	0.410801
645	013608-87-2	CC(=O)c1ccc(Cl)c(Cl)c1Cl	Test	2.049	1.648665
646	000093-91-4	O=C(c(cccc1)c1)CC(=O)C	Test	2.17	1.030494
647	001204-21-3	COc1ccc(OC)c(c1)C(=O)CBr	Training	3.53	2.4659
648	001126-46-1	O=C(OC)c(ccc(c1)Cl)c1	Training	1.19	1.613798
649	002905-69-3	O=C(OC)c(c(ccc1Cl)Cl)c1	Training	1.168	1.192014
650	000084-66-2	O=C(OCC)c(c(ccc1)C(=O)OCC)c1	Training	0.934	0.502476
651	000084-69-5	O=C(OCC(C)C)c(c(ccc1)C(=O)OCC(C)C)c1	Test	1.97	0.911544
652	000084-74-2	O=C(OCCCC)c(c(ccc1)C(=O)OCCCC)c1	Training	2.242	2.391071
653	000117-81-7	O=C(OCC(CCCC)CC)c(c(ccc1)C(=O)OCC(CCCC)CC)c1	Training	0.717	0.856503
654	000131-17-9	O=C(OCC=C)c(c(ccc1)C(=O)OCC=C)c1	Test	2.748	0.911544
655	003126-90-7	c1c(C(=O)OCCCC)cccc1C(=O)OCCCC	Training	2.527	2.391071
