Id	CAS	SMILES	Status	Experimental value [log(1/(mmol/L))]	Predicted value [log(1/(mmol/L))]
848	002465-27-2	CN(C)c1ccc(cc1)C(=N)c2ccc(cc2)N(C)C	Training	1.649	1.6202
849	001689-82-3	Oc(ccc(N=Nc(cccc1)c1)c2)c2	Training	2.235	2.081196
850	000060-09-3	N(=Nc(cccc1)c1)c(ccc(N)c2)c2	Test	2.751	2.081196
851	000782-74-1	N(Nc(c(ccc1)Cl)c1)c(c(ccc2)Cl)c2	Training	3.403	3.008318
852	000122-66-7	N(Nc(cccc1)c1)c(cccc2)c2	Training	3.632	3.422274
853	000882-33-7	S(Sc(cccc1)c1)c(cccc2)c2	Test	3.44	0.444859
854	000945-51-7	O=S(c(cccc1)c1)c(cccc2)c2	Training	0.363	0.444859
855	000621-08-9	O=S(Cc(cccc1)c1)Cc(cccc2)c2	Training	0.46	0.50603
856	002104-64-5	CCOP(=S)(Oc1ccc(cc1)N(=O)=O)c2ccccc2	Training	3.614	2.79393
857	014548-46-0	O=C(c(cccc1)c1)c(ccnc2)c2	Training	0.25	0.738699
858	014548-45-9	Brc1ccc(cc1)C(=O)c2cccnc2	Training	1.11	1.144671
859	001151-97-9	[O-][N+](=O)c(ccc(c1[N+](=O)[O-])Cc(nccc2)c2)c1	Test	1.052	0.745065
860	004916-57-8	C(Cc1ccncc1)c2ccncc2	Test	0.088	1.357971
861	002232-08-8	Cc1ccc(cc1)S(=O)(=O)n2ccnc2	Training	0.726	1.175447
862	000092-52-4	c(c(cccc1)c1)(cccc2)c2	Test	1.597	1.516981
863	005707-44-8	CCc2ccc(cc2)c1ccccc1	Test	2.483	3.422274
864	000092-69-3	Oc(ccc(c(cccc1)c1)c2)c2	Test	1.7	1.144671
865	000092-88-6	Oc(ccc(c(ccc(O)c1)c1)c2)c2	Training	1.156	1.144671
866	000090-43-7	Oc(c(c(cccc1)c1)ccc2)c2	Test	1.601	1.568389
867	000119-93-7	Nc(c(cc(c(ccc(N)c1C)c1)c2)C)c2	Training	1.213	1.24067
868	000091-94-1	Nc(c(cc(c(ccc(N)c1Cl)c1)c2)Cl)c2	Training	2.696	3.008318
869	000939-23-1	n(ccc(c1)c(cccc2)c2)c1	Test	0.982	-0.281237
870	000096-09-3	O(C1c(cccc2)c2)C1	Training	1.135	1.059259
871	030171-80-3	Brc2c(c(cc(c2)OCC1OC1)C)Br	Training	2.394	2.333237
872	000050-06-6	CCC1(C(=O)NC(=O)NC1(=O))c2ccccc2	Training	-0.319	-0.149485
873	000827-43-0	N(C(=CN1)C)=C1c(cccc2)c2	Test	0.546	1.210126
874	002759-28-6	C1CN(CCN1)Cc2ccccc2	Training	0.57	0.646871
875	000091-20-3	c(c(ccc1)ccc2)(c1)c2	Training	1.32	1.533561
876	000091-57-6	c(c(ccc1C)ccc2)(c2)c1	Training	1.874	1.533561
877	000090-12-0	c(c(c(cc1)C)ccc2)(c2)c1	Training	1.397	1.533561
878	000573-98-8	Cc2ccc1ccccc1c2C	Test	1.832	1.936645
879	000575-41-7	Cc2cc(C)c1ccccc1c2	Training	1.938	1.936645
880	000582-16-1	c(cc(ccc1C)c2c1)c(c2)C	Training	1.938	1.936645
881	029253-36-9	CC(c1cccc2c1cccc2)C	Test	2.362	2.209574
882	000090-13-1	c(c(c(cc1)Cl)ccc2)(c2)c1	Training	1.981	1.919238
883	000085-01-8	c(c(c(c(c1)ccc2)c2)ccc3)(c1)c3	Training	2.105	2.096546
884	000129-00-0	c(c(c(cc1)ccc2)c2cc3)(c1ccc4)c34	Training	2.306	2.310446
885	000083-32-9	c(c(ccc1)ccc2)(c1CC3)c23	Training	1.95	2.016634
886	000090-15-3	Oc(c(c(ccc1)cc2)c1)c2	Training	1.496	1.639925
887	000135-19-3	Oc(ccc(c1ccc2)c2)c1	Test	1.557	1.639925
888	101836-92-4	c1cc2c(O)c([N+](=O)[O-])cc([N+](=O)[O-])c2cc1	Test	1.838	2.581802
889	000091-59-8	c(c(ccc1N)ccc2)(c2)c1	Training	1.565	1.519064
890	002243-62-1	Nc1cccc2c(N)cccc12	Test	0.969	1.519064
891	000479-27-6	c(c(c(N)cc1)c(N)cc2)(c1)c2	Test	1.451	1.52543
892	000063-25-2	O=C(Oc(c(c(ccc1)cc2)c1)c2)NC	Training	1.353	1.416264
893	000091-22-5	n(c(c(ccc1)cc2)c1)c2	Training	0.418	0.536837
894	000148-24-3	n(c(c(ccc1)cc2)c1O)c2	Training	1.764	1.639925
895	000091-53-2	O(c(ccc(NC(C=C1C)(C)C)c12)c2)CC	Test	1.511	2.581802
896	000085-41-6	O=C(NC(=O)c1cccc2)c12	Training	0.168	0.249703
897	005394-18-3	c12C(=O)N(CCCCBr)C(=O)c1cccc2	Training	1.658	2.4659
898	022509-74-6	O=C(OCC)N(C(=O)c(c1ccc2)c2)C1=O	Training	2.195	1.65647
899	000089-40-7	O=C(NC(=O)c1ccc([N+](=O)[O-])c2)c12	Training	1.242	1.65647
900	000095-31-8	N(c(c(S1)ccc2)c2)=C1SNC(C)(C)C	Test	2.231	2.467078
901	005331-91-9	S(C(S)=N1)c(ccc2Cl)c1c2	Training	1.799	1.705557
902	000095-16-9	c1ccc2ncsc2c1	Training	0.54	0.755458
903	000095-33-0	N(c(c(S1)ccc2)c2)=C1SNC(CCCC3)C3	Training	2.1	2.389605
904	000095-32-9	O(CCN(SSC(=Nc(c1ccc2)c2)S1)C3)C3	Test	2.764	2.389605
905	000496-16-2	O(c(c(ccc1)C2)c1)C2	Test	0.169	1.059259
906	000271-89-6	c1ccc2ccoc2c1	Training	0.928	0.755458
907	022720-75-8	c12SC(C(=O)C)=Cc1cccc2	Training	1.246	1.194717
908	000094-62-2	O=C(N(CCCC1)C1)C=CC=Cc(ccc(OCO2)c23)c3	Training	1.561	1.927504
909	000083-34-1	c1ccc2c(C)cnc2c1	Test	1.171	0.867253
910	000058-27-5	c1cc2C(=O)C=C(C)C(=O)c2cc1	Training	3.193	3.120062
911	000117-80-6	c1ccc2C(=O)C(Cl)=C(Cl)C(=O)c2c1	Training	3.865	3.751036
912	000058-08-2	CN1C(=O)N(C)c2ncn(C)c2C1(=O)	Test	0.109	0.502476
913	000086-50-0	S=P(OC)(OC)SCN1N=Nc2ccccc2C1(=O)	Test	3.695	2.248071
914	000716-79-0	N(c(c(N1)ccc2)c2)=C1c(cccc3)c3	Training	1.354	1.784348
915	000525-82-6	c1ccc2C(=O)C=C(c3ccccc3)Oc2c1	Training	1.802	1.870545
916	000090-30-2	N(c(c(c(ccc1)cc2)c1)c2)c(cccc3)c3	Test	2.496	1.870545
917	000066-76-2	O=C1Oc2ccccc2C(O)=C1CC3=C(O)c4ccccc4OC3=O	Test	1.818	3.193119
918	000092-06-8	c(c(cccc1)c1)(cccc2c(cccc3)c3)c2	Training	1.871	1.899159
919	000084-15-1	c(c(c(cccc1)c1)ccc2)(c(cccc3)c3)c2	Test	3.283	1.899159
920	002479-46-1	Nc2ccc(cc2)Oc3cc(ccc3)Oc1ccc(cc1)N	Training	2.187	1.927504
921	003558-69-8	c1ccc(cc1)c2cccc(n2)c3ccccc3	Test	3.041	2.0669
922	000084-62-8	O=C(Oc(cccc1)c1)c(c(ccc2)C(=O)Oc(cccc3)c3)c2	Test	3.0	2.830575
923	051630-58-1	CC(C)C(C(=O)OC(C#N)c2cccc(Oc1ccccc1)c2)c3ccc(Cl)cc3	Training	4.916	5.710435
924	070124-77-5	CC(C)C(C(=O)OC(C#N)c2cccc(Oc1ccccc1)c2)c3ccc(OC(F)F)cc3	Training	6.376	5.710435
925	000843-55-0	Oc(ccc(c1)C(CCC(c(ccc(O)c2)c2)C3)C3)c1	Test	2.173	1.478023
926	052645-53-1	CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc3cccc(Oc2ccccc2)c3	Test	4.388	2.830575
927	010453-86-8	CC(C)=CC3C(C(=O)OCc2coc(Cc1ccccc1)c2)C3(C)C	Training	4.74	4.494044
928	000569-64-2	CN(C)c1ccc(cc1)C(=C2C=CC(C=C2)=N(Cl)(C)C)c3ccccc3	Training	3.416	3.336322
929	000115-86-6	O=P(Oc(cccc1)c1)(Oc(cccc2)c2)Oc(cccc3)c3	Training	2.487	1.928739
930	001330-78-5	O=P(Oc1ccccc1C)(Oc2ccccc2C)Oc3ccccc3C	Training	2.642	1.932988
931	025155-23-1	O=P(Oc1(c(C)cc(C)cc1))(Oc2(cc(C)cc(C)c2))Oc3(c(C)c(C)ccc3)	Training	1.383	1.932988
932	000791-28-6	O=P(c(cccc1)c1)(c(cccc2)c2)c(cccc3)c3	Training	0.713	1.339211
933	000132-64-9	o(c(c(c1cccc2)ccc3)c3)c12	Test	1.959	1.784348
934	001484-13-5	N(c(c(c1cccc2)ccc3)c3)(c12)C=C	Test	4.78	1.784348
935	000132-65-0	s(c(c(c1cccc2)ccc3)c3)c12	Training	2.119	1.784348
936	000514-10-3	O=C(O)C(C(C(C(C(=C1)C=C(C2)C(C)C)C2)(CC3)C)C1)(C3)C	Training	2.104	2.346314
937	000471-77-2	C(C(CC1)=C(C)C)=C(CCC2C(C3)(C(=O)O)C)C1C2(CC3)C	Test	2.248	2.346314
938	005835-26-7	CC3(CCC1C(=CCC2C1(C)CCCC2(C)C(=O)(O))C3)C=C	Training	2.541	2.346314
939	001740-19-8	O=C(O)C(C(C(c(c(cc(c1)C(C)C)C2)c1)(CC3)C)C2)(C3)C	Test	2.156	2.346314
940	000083-79-4	COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C	Training	4.943	4.801256
941	000060-41-3	O=C1(CC2OCC=C3CN4CCC56C4CC3C2C5N1C7=CC=CC=C67)	Training	2.839	2.839272
942	000597-64-8	CC[Sn](CC)(CC)CC	Training	4.33	3.103332
943	001461-25-2	CCCC[Sn](CCCC)(CCCC)CCCC	Training	3.885	3.66362
944	000123-46-6	NNC(=O)CN(C)(C)(C)	Training	-2.025	-1.666267
945	069723-94-0	C1C(=CC=C[N+]=1CC2C=CC=CC=2)S(=O)(=O)[O-]	Training	-0.985	-0.731826
946	000683-10-3	O=C(O)CN(CCCCCCCCCCCC)(C)C	Training	2.39	2.280397
